Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,,,,
J,"Benson, Lori K.; Rice, Stanley A.; Johnson, Bruce R.",,,,,,,,,,Evidence of cellulose digestion in the wood boring isopod Sphaeroma terebrans,,,,,,,,Florida Scientist,,,,62,2,,,128,144,,,,,,,,,,,Article,"Spring, 1999",1999,"Sphaeroma terebrans Bate is a widespread estuarine, wood-boring isopod found in red mangrove (Rhizophora mangle) forests of tropical and subtropical estuarine waters. Because it causes extensive damage to man-made structures in marine coastal zones and is resistant to common methods of wood preservation, it is important to understand fully how S. terebrans uses the wood into which it bores. Previous studies indicate that S. terebrans is primarily a filter-feeder and does not utilize bored wood as a nutritive substrate. However, laboratory feeding data obtained in this study indicate that juvenile S. terebrans specimens can survive on a diet of pure cellulose significantly longer than individuals given no food. In addition, enzyme assays show that digestive caeca homogenates from S. terebrans have active cellulose-digesting enzymes. Furthermore, SEM and TEM studies of this organism indicate that cellulose-like material is present in the hindgut of these organisms. These datataken collectively indicate that S. terebrans has the ability to use the wood as a food source.",,,,,,,,,5,2,0,0,3,0,9,,,0098-4590,,,,,,,,,,,"Museum of Natural Science, Louisiana State University, Baton Rouge, LA, 70803, USA",,,,1999-03-01,BCI:BCI199900282912,,,,,
R,"Willsteed, Edward; Jude, Simon; Gill, Andrew B; Birchenough, Silvana",,,,,,,,,,"Attribute table, evaluation data & analysis of evaluation data for published paper Obligations and aspirations: a critical evaluation of offshore wind farm cumulative impact assessments",,,,,,,,Figshare,,,,,,,,,,,,,http://dx.doi.org/10.17862/cranfield.rd.5398513.v1,,,,,,,Data study,2018-02-13,2017,Files uploaded enable: 1) application of the critical evaluation framework developed to other fields; 2) re-examination of the data generated by the evaluation. The full methodology is reported in the published paper. Information identifying individual Environmental Statements has been removed from publicly available data. Copyright: CC BY 4.0,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,2018-07-13,DRCI:DATA2018106013098925,,,,,
J,,,,,,,,,LONG ZHANG,,Development and demonstration of methods and tools for large scale wind turbine pitch bearing condition assessment (DemoBearing),,,,,,,,,,,,,,,,,,,,,,,,,,,,Awarded Grant,May 28 2019,2019,"The UK is No. 1 in the world for installed offshore wind power and continues the deployment in a predominant speed in the next few decades to meet 2050 carbon emissions targets. The increasing sizes of offshore wind turbines pose significant challenges in the operation and maintenance of all its components. In particular, wind turbine pitch bearing, as the safety-critical interface between the turbine blade and the hub to rotate the blade for power generation optimisation and emergency stop, is typified as the large, slow, partially rotated bearing but it is the weak part and bottleneck for large offshore turbines (Emerging grand challenge). In addition, the UK will have a large number of onshore turbines approaching the end of their design life by 2030. The pitch bearing poses a significant risk for the decision making in ageing turbine decommissioning or life extension (Upcoming challenge). In-situ pitch bearings condition assessment is a major and open challenge for the whole wind industry as there are no industrial standards available yet and few existing in-situ methods, such as endoscopy and grease analysis, can only partially assess the pitch bearing conditions. Therefore, it is essential to develop effective in-situ condition assessment methods and tools in order to reduce high maintenance cost, unplanned downtime and risk of catastrophic failure, improve reliability and energy efficiency of onshore and offshore wind power generation and enable reliable decision making in ageing onshore wind turbine life extension.The ambitious research is, for the first time and at the international forefront, to develop intelligent pitch bearing condition assessment methods and in-situ tools using vibration and acoustic emission measurements. In particular, the research tackles the global grand challenges in wind industry by addressing the fundamentally technical challenges related to weak, noisy, and non-stationary data analysis for large slow speed bearings. This will be achieved by developing novel algorithms with sparse signal separation, data fusion and machine learning methods, followed by significant demonstration activities on both lab and real world operating environments. The PI has developed the first industrial-scale wind turbine pitch bearing platform including three naturally damaged bearings with over 15 years operating life in a real wind farm and advanced data collection instrument. The newly built platform lays a solid foundation for the proposed research and creates an ideal platform for carrying out demonstration and impact activities. The PI has also secured the unique opportunity to carry out field data collection and demonstration in real world operating wind farms under the strongest supports provided by two industrial project partners.The data collected from three naturally damaged bearings will be made publicly available under open-source licences to enable other researchers to carry out condition assessment for large slow speed bearings. The IP developed during the project will be protected. The developed algorithms will be made publicly available, if not conflicted with the IP.The successful outcome of this project will break new ground in in-situ pitch bearing condition assessment methods and tools, contribute to industrial standards of pitch bearings, and benefit a wide range of industries that use large slow speed bearings, such as offshore oil, gas, mining and steel making, over many decades of bearing service life. The novel methods with regard to weak, noisy and non-stationary data analysis can be used for wide data-driven applications. Therefore, the project has a significant, wide and long term impact in the next few decades.",,,,,,,,,0,0,0,0,0,0,0,,,,,,EP/S017224/1,,,,,,,,University of Manchester,,,,2023-12-08,GRANTS:15310319,,,,,
J,"FRIEDLANDER, A; BEETS, J; TOBIAS, W",,,,,,,,,,EFFECTS OF FISH AGGREGATING DEVICE DESIGN AND LOCATION ON FISHING SUCCESS IN THE US VIRGIN-ISLANDS,,,,,,,,BULLETIN OF MARINE SCIENCE,,,,55,2-3,,,592,601,,,,,,,,,,,Article,SEP 1994,1994,"Fish aggregating devices (FADs) of various designs were deployed around the U.S. Virgin Islands to test their relative effectiveness in concentrating pelagic fishes and improving recreational and commercial fishing. Subsurface FADs were deployed along the shelf edge and inshore off St. Thomas. Off St. Croix, surface and subsurface FADs were placed along the shelf edge. Fishing success was evaluated by experimental trolling around FAD and control locations. Over 170 trolling trips comprising 447 fishing h were conducted between 1986 and 1990. Catch per boat hour ranged from 0.04 to 1.054 on the FADs and 0.07 to 0.305 on the controls. Trolling around FADs yielded a significantly greater number of fish and strikes than control areas except for the St. Croix subsurface FADs. Species diversity of catch also was significantly greater on the FADs compared to controls except for the St. Croix subsurface units. No significant differences in fishing success were found between the St. Thomas subsurface FADs and the St. Croix surface FADs. The St. Thomas subsurface FADs attracted more coastal pelagic species such as barracuda (Sphyraena barracuda), jacks (Carangidae) and king mackerel (Scomberomorous cavalla), while the St. Croix surface FADs attracted more oceanic pelagics such as tunas (Scombridae) and dolphin (Coryphaena hippurus). The evaluation of various FAD designs and locations can help in the decision of future FAD deployment to meet specific management needs.",,,,,,,,,20,2,0,0,7,0,22,,,0007-4977,,,,,,,,,,,"UNIV HAWAII,HAWAII COOPERAT FISHERY RES UNIT,HONOLULU,HI 96822UNIV RICHMOND,DEPT BIOL,RICHMOND,VA 23173DIV FISH & WILDLIFE,ST CROIX,VI 00840",DIV FISH & WILDLIFE,,,1994-09-01,WOS:A1994QB58400027,,,,,
J,"Komatsu, Teruhisa",,,,,,,,,,"Impacts of an offshore wind farm on seagrass and seaweed beds and marine organisms in shallow waters, and their assessment methods.",,,,,,,,Aquabiology (Tokyo),,,,39,5,,,456,464,,,,,,,,,,,Article,Oct 2017,2017,"Coastal habitats such as seagrass and seagrass beds, mangrove forests and coral reefs provide important ecosystem services to human societies. They are indispensable for sustainable development with renewable energy produced by offshore wind farms. This article reviews impacts of offshore wind farms on a marine life in shallow waters including seagrass and seaweed beds and assessment methods of impacts referring to results obtained by experimental wind powers constructed off Chosi and Kitakyushu and wind farms in Europe and U.S.A. It is necessary to prepare a construction plan to avoid damages of coastal habitats and to monitor environments around a wind farm and along cables linking between the wind farm and land not to damage them.",,,,,,,,,0,0,0,0,0,0,0,,,0285-4376,,,,,,,,,,,"Yokohama Coll Commerce, Yokohama, Kanagawa, Japan",,,,2018-03-01,ZOOREC:ZOOR15403015073,,,,,
J,"Siddiqui, NA; Ahmad, S",,,,"Siddiqui, Nadeem/G-5226-2018","Siddiqui, Nadeem/0000-0002-1181-171X",,,,,Reliability analysis against progressive failure of TLP tethers in extreme tension,,,,,,,,RELIABILITY ENGINEERING & SYSTEM SAFETY,,,,68,3,,,195,205,,,,10.1016/S0951-8320(00)00008-9,,,,,,,Article,JUN 2000,2000,"The tension leg platform (TLP) is a moored floating structure whose buoyancy is more than its weight. The mooring system of TLP consists of number of tensioned tethers connected to the columns at the top and anchored to the seabed at the bottom. These tethers are vulnerable to failure due to extreme (maximum and minimum) tensions. The reliability study of these tethers is an important subject of study. The reliability may further deteriorate after the failure or removal of any of these tethers. In the present study, reliability analysis of an intact TLP and TLP with one tether missing has been carried out. A Von-Mises failure criterion has been adopted to define the failure of tether against maximum tension. The minimum tension failure occurs when the tethers slack due to loss of tension. The limit state functions for maximum and minimum tension cases have been derived. The computationally efficient algorithm First order reliability method (FORM) has been adopted for reliability calculations. Results are presented in terms of reliability indices and probabilities of failure for each sea state. The probabilities of failure so obtained for different sea states have been used for the assessment of annual and life time probability of failures. Reliability of the TLP with one tether missing has been compared with that of the corresponding intact TLP. Effect of wind has also been studied on the progressive failure of TLP tethers and the results have been compared with that of an intact TLP. (C) 2000 Published by Elsevier Science Ltd. All rights reserved.",,,,,,,,,26,4,0,0,0,0,30,,,0951-8320,1879-0836,,,,,,,,,,"Jamia Millia Islamia, Dept Civil Engn, New Delhi 110025, IndiaIndian Inst Technol, Dept Appl Mech, New Delhi 110016, India",,,,2000-06-01,WOS:000087696600002,,,,,
J,"Cortina, Joao P. R.; de Sousa, Fernando J. M.; Sagrilo, Luis V. S.",,,,,,,,,,Neural Networks Applied to the Wave-Induced Fatigue Analysis of Steel Risers,,,,,,,,MATHEMATICAL PROBLEMS IN ENGINEERING,,,,2018,,,,,,2719682,,,10.1155/2018/2719682,,,,,,,Article,2018,2018,"Time domain stochastic wave dynamic analyses of offshore structures are computationally expensive. Considering the wave-induced fatigue assessment for such structures, the combination of many environmental loading cases and the need of long time-series responses make the computational cost even more critical. In order to reduce the computational burden related to the wave-induced fatigue analysis of Steel Catenary Risers (SCRs), this work presents the application of a recently developed hybrid methodology that combines dynamic Finite Element Analysis (FEA) and Artificial Neural Networks (ANN). The methodology is named hybrid once it requires short time series of structure responses (obtained by FEA) and imposed motions (evaluated analytically) to train an ANN. Subsequently, the ANN is employed to predict the remaining response time series using the prescribed motions imposed at the top of the structure by the floater unit. In this particular work, the methodology is applied aiming to predict the tension and bending moments' time series at structural elements located at the top region and at the touchdown zone (TDZ) of a metallic riser. With the predicted responses (tensions and moments), the stress time series are determined for eight points along the pipe cross sections, and stress cycles arc identified using a Rainflow algorithm. Fatigue damage is then evaluated using SN curves and the Miner-Palmgren damage accumulation rule. The methodology is applied to a SCR connected to a semisubmersible platform in a water depth of 910 m. The obtained results are compared to those from a full FEA in order to evaluate the accuracy and computer efficiency of the hybrid methodology.",,,,,,,,,9,0,0,0,0,0,9,,,1024-123X,1563-5147,,,,,,,,,,"Univ Fed Rio de Janeiro, Lab Anal & Reliabil Offshore Struct, Civil Engn Program, COPPE, Rio De Janeiro, Brazil",,,,2018-08-15,WOS:000440902200001,,,,,
J,"Dobretsov, S; Dahms, HU; Qian, PY",,,,"Dobretsov, Sergey/C-9733-2012","Dobretsov, Sergey/0000-0002-1769-6388; Dahms, Hans-Uwe/0000-0002-0352-2715; Qian, Pei-Yuan/0000-0003-4074-9078",,,,,Inhibition of biofouling by marine microorganisms and their metabolites,,,,,,,,BIOFOULING,,,,22,1,,,43,54,,,,10.1080/08927010500504784,,,,,,,Review,2006,2006,"Development of microbial biofilms and the recruitment of propagules on the surfaces of man-made structures in the marine environment cause serious problems for the navies and for marine industries around the world. Current antifouling technology is based on the application of toxic substances that can be harmful to the natural environment. For this reason and the global ban of tributyl tin (TBT), there is a need for the development of environmentally-friendly antifoulants. Marine microbes are promising potential sources of non-toxic or less-toxic antifouling compounds as they can produce substances that inhibit not only the attachment and/or growth of microorganisms but also the settlement of invertebrate larvae and macroalgal spores. However, so far only few antilarval settlement compounds have been isolated and identified from bacteria. In this review knowledge about antifouling compounds produced by marine bacteria and diatoms are summarised and evaluated and future research directions are highlighted.",,,,,,,,,305,16,2,0,226,2,354,,,0892-7014,1029-2454,,,,,,,,,,"Hong Kong Univ Sci & Technol, Dept Biol, Coastal Marine Lab, Kowloon, Hong Kong, Peoples R China",,,,2006-01-01,WOS:000236198900005,16551560,,,,
J,"Armitage, Anna R.; Jensen, Stacey M.; Yoon, Joy E.; Ambrose, Richard F.",,,,"Ambrose, Richard F./AAQ-1192-2020; Armitage, Anna/X-2773-2019","Ambrose, Richard F./0000-0001-8653-6487; Armitage, Anna/0000-0003-1563-8026",,,,,Wintering shorebird assemblages and behavior in restored tidal wetlands in southern California,,,,,,,,RESTORATION ECOLOGY,,,,15,1,,,139,148,,,,10.1111/j.1526-100X.2006.00198.x,,,,,,,Article,MAR 2007,2007,"Habitat restoration can partially compensate for the extensive loss of coastal wetlands, but creation of functional habitat and assessment of restoration success remain challenging tasks. To evaluate wintering shorebird use of restored coastal wetlands, we quantified shorebird assemblages and behavior of selected focal species at five restored sites and paired reference sites in Mugu Lagoon, southern California, United States. The Shannon-Wiener index of species diversity (for all birds in order Charadriiformes) was higher in the restored than in the reference portion of three of the five sites, higher in the reference portion of a fourth site, and similar between reference and restored areas of the fifth site. Species diversity was lower in sites closer to man-made structures. The four most abundant species groups across the five sites were selected for detailed analysis of site use and behavior: Willets (Catoptrophorus semipalmatus), Marbled Godwits (Limosa fedoa), Dowitchers (Limnodromus spp.), and Sandpipers (Calidris spp.) (Western, Least, and Dunlin). Each focal species group exhibited distinct site preferences, and densities in restored sites were often as high or higher than in reference sites. Willets and Dowitchers preferred habitats with more extensive tidal flats, a characteristic of restored sites. Godwits and Sandpipers preferred heterogeneous habitats with a mix of water and tidal flats. Most birds were engaged in feeding activities during the ebb tides surveyed, and there were no apparent differences in behavior between reference and restored sites. Though not all restored sites were used equally by all species, the creation of multiple restored sites with varied habitat characteristics attracted a diverse assemblage of shorebirds and may have contributed to the integrity of the regional wetland landscape.",,,,,,,,,35,3,0,0,25,0,44,,,1061-2971,1526-100X,,,,,,,,,,"Texas A&M Univ, Dept Marine Biol, Galveston, TX 77551 USAUniv Calif Los Angeles, Environm Sci & Engn Program, Los Angeles, CA 90095 USAUniv Calif Los Angeles, Dept Environm Hlth Sci, Los Angeles, CA 90095 USA",,,,2007-03-01,WOS:000244084000016,,,,,
S,"Barreca, Giovanni; Barbano, Maria Serafina; Carbone, Serafina; Monaco, Carmelo",,,,"Barbano, Maria Serafina/B-5751-2016; Monaco, Carmelo/GPC-5590-2022","monaco, carmelo/0000-0001-5690-9879; Barreca, Giovanni/0000-0001-7424-249X; Barbano, Maria Serafina/0000-0003-2407-3207","Sintubin, M; Stewart, IS; Niemi, TM; Altunel, E",,,,Archaeological evidence for Roman-age faulting in central-northern Sicily: Possible effects of coseismic deformation,,,,,,,,ANCIENT EARTHQUAKES,,Geological Society of America Special Papers,,471,,,,223,232,,,,10.1130/2010.2471(18),,,,,,,Article; Book Chapter,2010,2010,"We analyzed displacement on man-made structures and destructive effects on the ancient Roman community in two archaeological sites located on the southern Madonie Mountains, central-northern Sicily. At the archaeological site of Mount Alburchia, a votive niche of the Late Roman period is offset similar to 15 cm by a NNW-SSE-striking normal fault belonging to a NNW-SSE-trending en-echelon system related to an E-W-oriented regional shear zone. Structural analysis of deformed conglomerates suggests a coseismic origin of displacement. At the Gangi Vecchio archaeological site, 3 km northeast of Mount Alburchia, the prevalence of pottery pieces and coins dated from the fourth century B.C. to the fourth century A.D. and a sudden decrease of evidence of human activity at the end of the fourth century A.D. have been emphasized by archaeologists. Furthermore, recent archaeological excavations have revealed a Roman-age grave where remains of some women and children are mixed. Because ancient Romans usually did not use common burial, this could be related to an unexpected natural disaster. This event was conceivably a strong earthquake that probably occurred in the Late Roman period. An analysis of historical catalogues suggests that this event could be referred to the A.D. 361 earthquake, the epicenter of which, in central Sicily, is poor defined. Our data represent a first step for the relocation of this seismic event northward in the Madonie Mountains area.",,,,,,,,,10,0,0,0,0,0,10,,,0072-1077,,978-0-8137-2471-3,,,,,,,,,"Univ Catania, Dept Geol Sci, I-95129 Catania, Italy",,,,2010-01-01,WOS:000286333300019,,,,,
J,"Michler-Cieluch, Tanja; Kodeih, Silvia",,,,,,,,,,Mussel and seaweed cultivation in offshore wind farms: An opinion survey,,,,,,,,COASTAL MANAGEMENT,,,,36,4,,,392,411,,,,10.1080/08920750802273185,,,,,,,Article,2008,2008,"German coastal regions and adjacent offshore waters are claimed for a variety of different, and often overlapping, uses. Conflicts of interest are expected to increase due to the planned construction of offshore wind farms. The development of an integrated approach combining different commercial activities, such as open ocean aquaculture and wind farming, could be a possible solution to overcome these conflicts. To illuminate existing perception and opinions on this multiple-use idea, this study examines the attitudes of representatives of eight different actor groups toward potential offshore wind farm-mariculture integration in the German North Sea. Results from our questionnaire survey show that the respondents' attitudes toward the suggested multiple-use setting seem to be largely influenced by their general opinion toward offshore wind farms. The Fisheries actor group differs from the other questioned groups in that negative attitudes are overall predominant. This case study points to the need for a credible mechanism that more successfully integrates key actor groups, such as fisheries, into future planning and research issues.",,,,,,,,,12,0,0,0,5,0,13,,,0892-0753,,,,,,,,,,,"Alfred Wegener Inst Polar & Marine Res, D-27570 Bremerhaven, Germany",,,,2008-01-01,WOS:000258313200004,,,,,
R,"Maldonado, Gustavo C; Moura, Mariana MS; Skinner, Felipe Luis; Araujo, Fabio V",,,,,,,,,,"Evaluation of wood degradation rates by Teredinidae (Mollusca: Bivalvia) in two ecologically distinct areas, and temperature and salinity influences on the cellulolytic activity of associated bacteria",,,,,,,,Figshare,,,,,,,,,,,,,http://dx.doi.org/10.6084/m9.figshare.14275221.v1,,,,,,,Data set,2021-04-05,2020,"Abstract Teredinidae (shipworms) is a family of marine wood-boring bivalves that has an important role in the degradation of wood through its symbiotic relationship with cellulolytic bacteria. To evaluate the rate of degradation of wood by teredinids in two sites with different oceanographic conditions in Rio de Janeiro State, Brazil, artificial structures composed of pine wood sheets were immersed in the ocean for three months at Arraial do Cabo in an area under the influence of upwelling, and at Ilha Grande Bay under tropical and oligotrophic influences. After the immersion period, teredinids were removed from the collectors, identified, and counted. Wood consumption by the teredinids was quantified by comparing the dry weights of the collectors before and after immersion. Associated bacteria were isolated and their cellulolytic activities evaluated at different temperatures and salinities. Two Teredinidae species were recorded: Bankia gouldi and Lyrodus floridanus. The highest wood degradation rate and enzymatic activities of the isolated bacterial strains were recorded at Arraial do Cabo, suggesting that upwelling influenced the activities of those species.",,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,2021-04-23,DRCI:DATA2021075021465044,,,,,
J,"O'Shaughnessy, Kathryn",,,,,,,,,,Eco-Engineering of Coastal Infrastructure : a Design for Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2020,2020,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"University of Plymouth (United Kingdom), England",University of Plymouth (United Kingdom),,,,PQDT:66629594,,,,,
J,,,,,,,,,Bruno Souza Carmo,,Numerical modeling and simulation applied to wind energy: part of the proposal HPCWE submitted to the H2020-FETHPC-2018-2020 call,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awarded Grant,Jun 01 2019,2019,"Renewable energy is becoming more popular and important because of the concern about environmental impacts related to other sources of energy combined with the investments on research and development to support the reduction of costs. A large part of the power generated from renewable sources nowadays comes from wind, and this share is expected to grow even more in the coming years. Notwithstanding the considerable recent technological developments in wind energy that happened in the last years, there are still many open research questions in this field, mainly because industry is gradually moving to larger wind farms, with larger turbines, deployed at different locations (e.g. floating offshore) and posing new techno-economic challenges such as lifetime extension and more reliable power delivery to grid than previously. To help tackle these issues, much insight can be gained with the use of numerical modelling and simulation. Besides that, these numerical models can be employed as design tools for new equipment and installations.This research project intends to develop numerical models and high performance computing techniques beyond the state-of-the-art to support the sustainable exploitation of wind power. The activities of the project can be grouped in two different work streams. In the first one, we will investigate large scale phenomena and will employ the actuator disc/line approach to model the turbines. The main deliverables of this work stream will be highly-accurate numerical models to investigate wind turbine wake interactions and interference, wind farm layout optimization tools and strategies for optimal integrated control of wind farm turbines. In the second work stream, we will perform blade-resolved simulations using numerical models which take the flexibility of the structures into account. With these models, we will perform numerical simulations of large wind turbines, including floating offshore examples and will develop design tools for small scale wind turbines. This proposal will be considered as a match funding from FAPESP, as part of an already approved H2020 European Union grant on high performance computing (Proposal HPCWE, number SEP-210516159, call H2020-FETHPC-2018-2020). (AU)",,,,,,,,,0,0,0,0,0,0,0,,,,,,19/01507-8,,,,,,,,"Escola Politécnica (EP). Universidade de São Paulo (USP). São Paulo , SP, Brazil","Escola Politécnica (EP). Universidade de São Paulo (USP). São Paulo , SP, Brazil",,,2023-12-08,GRANTS:16412378,,,,,
J,"Krokoszinski, HJ",,,,,,,,,,Efficiency and effectiveness of wind farms - keys to cost optimized operation and maintenance,,,,,,,,RENEWABLE ENERGY,,,,28,14,,,2165,2178,,,,10.1016/S0960-1481(03)00100-9,,,,,,,Article,NOV 2003,2003,"Operation and maintenance (O&M) cost will be the key to the economic viability of large offshore wind farms planned worldwide. In order to support investment decisions a systematic mathematical approach to the O&M cost contributions is required prior to detailed engineering or even construction of the wind farm.Adopting the general terms of efficiency, productivity and effectiveness defined for production processes we introduce the Wind Farm Process and its Total Overall Equipment Effectiveness (TotalOEE) by considering wind farms performing a transformation of produced electrical energy to delivered (sold) electrical energy. This transformation process consists of an installation, i.e. properly selected wind energy converters and their arrangement to form a wind farm, and of a process comprising operation and maintenance. Both are the subject of optimization to maximize the annual energy output by minimizing the different kinds of losses.In a systematic approach to the causes and nature of losses in wind farms the terms theoretical production time, available production time and valuable production time are redefined in unit full load hours. Then, a calculation scheme is developed to quantify wind farm production losses in terms of planned or unplanned downtimes and speed losses and to relate the associated reduction of revenues DeltaR to the theoretical maximum of annual wind park revenues R-theo(park). It leads to the simple equation DeltaR/R-theo = TotalOEE - 1 < 0. (C) 2003 Elsevier Science Ltd. All rights reserved.",,,,,,,,,45,0,0,0,0,0,50,,,0960-1481,,,,,,,,,,,"ABB New Ventures GmbH, D-68128 Mannheim, Germany",ABB New Ventures GmbH,,,2003-11-01,WOS:000184107900001,,,,,
J,"Wilson, Mark W.; Fernandez-Bellon, Dario; Irwin, Sandra; O'Halloran, John",,,,"Irwin, Sandra/J-5300-2013","Irwin, Sandra/0000-0002-9918-5425; Fernandez-Bellon, Dario/0000-0002-8016-6515",,,,,Hen Harrier Circus cyaneus population trends in relation to wind farms,,,,,,,,BIRD STUDY,,,,64,1,,,20,29,,,,10.1080/00063657.2016.1262815,,,,,,,Article,FEB 24 2017,2017,"Capsule: The data presented here demonstrate a considerable spatial overlap between wind farms and the breeding distribution of Hen Harriers in Ireland, but evidence for a negative impact of wind farms on their population is weak.Aims: To assess the extent of the overlap between wind farms and breeding Hen Harriers and to investigate their potential impact on Hen Harrier population trends.Methods: Data on Hen Harrier breeding distribution in 10kmx10km survey squares from national surveys were used in conjunction with information on the location of wind farms to examine whether, and to what extent, changes in Hen Harrier distribution and abundance between 2000 and 2010 were related to wind energy development.Results: Of the 69 survey squares holding Hen Harriers during the 2010 breeding season, 28% also overlapped with one or more wind farms. Data from 36 of the squares with breeding Hen Harriers during the 2000 survey revealed a marginally non-significant negative relationship between wind farm presence and change in the number of breeding pairs between 2000 and 2010.Conclusions: A considerable overlap exists between Hen Harrier breeding distribution and the location of wind farms in Ireland, particularly in areas between 200 and 400m above sea level. The presence of wind farms is negatively related to Hen Harrier population trends in squares surveyed in 2000 and 2010, but this relationship is not statistically significant, and may not be causal. This is the first study to assess the influence of wind energy development on Hen Harriers at such a large geographic and population scale.",,,,,,,,,10,0,0,0,10,0,10,,,0006-3657,1944-6705,,,,,,,,,,"Univ Coll Cork, Sch Biol Earth & Environm Sci, Cork, Ireland",,,,2017-04-05,WOS:000395008200003,,,,,
J,,,,,,,,,Thomas Wilding,,Improving marine growth estimates using 3D photogrammetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awarded Grant,Jan 01 2018,2018,"Offshore infrastructure, including oil and gas and renewables installations, are rapidly colonised by a diverse range of animals and plants (seaweeds), here referred to as 'marine growth'. The nature and extent of marine growth has both engineering and ecological consequences for the performance and integrity of offshore infrastructure. From an engineering perspective, marine growth changes critical structure characteristics affecting performance at both the operational (e.g. drag and loading forces) and decommissioning phases (e.g. jacket lifting/towing). From an ecological perspective, marine growth is the basis for the 'reef-effect' offered by offshore structures; marine growth provides ecosystem services such as water filtration, food provision and shelter (e.g. for commerical fish species). The scale of offshore energy, and the associated installation and removal of structures, is considerable and includes the commissioning of new wind-farms (up to 50,000 wind-turbines are projected by 2050 in Europe) and decommissioning of oil and gas structures (>20% of North Sea assets to be decommissioned within 10 years). Industry needs to monitor four aspects of the marine growth (MG) on their installations. These aspects are marine growth type (e.g. mussels, coral, anemones) mass, volume and surface roughness. Accurate estimation of these aspects is required in order to (1) inform engineering decisions that account for effects of marine growth, (2) optimise cleaning regimes and planning, (3) inform lifting operations at decommissioning and (4) organise disposal of the marine growth. Marine growth estimates are also required to understand the ecosystem-services offered by offshore structures and thus the environmental consequences of installing and removing infrastructure. This information is also required by regulators and policy-makers as an evidence base to optimise decision-making with respect to consenting offshore activities. Currently, industry employs a simple algorithm to estimate marine growth thickness and mass on their structures. This algorithm frequently results in substantial overestimates (up to a factor of 20) between predicted and reported MG mass. The current poor MG estimates result in a high degree of uncertainty, for example in the equipment necessary to lift a structure, and this uncertainty incurs considerable costs. Our project will build on on-going research to assess the feasibility of generating, and analysing, 3D images derived from video footage obtained using remotely operated vehicles (ROV). We will calibrate the MG volume estimated from the ROV-3D images against different MG categories (seaweed, hard-growth, such as mussels, and soft-growth, such as sponges and anemones). We will then take ROV footage gathered around oil and gas structures that have subsequently been decommissioning, and cleaned, and compare our new MG estimates against those recorded by the decommissioning yard. This feasibility assessment will culminate in the production of best-practice guidelines to industry for optimal methods to generate and use 3D images in assessing MG. The knowledge embedded in end-users organisations, as result of this project, will steer adoption of 3D imaging as a novel marine growth assessment tool.",,,,,,,,,0,0,0,0,0,0,0,,,,,,NE/R014698/1,,,,,,,,Scottish Association For Marine Science,Scottish Association For Marine Science,,,2023-12-08,GRANTS:15342489,,,,,
